model,label_file,accuracy,precision,recall,f1
160531,labels_20250227_160531_gemma:7b-conversation_detection_prompt_thisiscere.csv,0.7368421052631579,0.0,0.0,0.0
143535,labels_20250131_143535_gpt4o_thisiscere.csv,1.0,1.0,1.0,1.0
163722,labels_20250226_163722_mistral7b_thisiscere.csv,0.9285714285714286,0.0,0.0,0.0
161112,labels_20250226_161112_mistral7b_thisiscere.csv,0.896551724137931,0.0,0.0,0.0
171944,labels_20250131_171944_claude35s_thisiscere.csv,0.9387755102040817,0.8,1.0,0.8888888888888888
180822,labels_20250224_180822_mistral7b_thisiscere.csv,0.9259259259259259,0.0,0.0,0.0
160801,labels_20250227_160801_gemma:7b-conversation_detection_prompt_thisiscere.csv,0.7068965517241379,0.0,0.0,0.0
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.9552238805970149,0.8421052631578947,1.0,0.9142857142857143
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.8888888888888888,0.0,0.0,0.0
161421,labels_20250226_161421_mistral7b_thisiscere.csv,0.8928571428571429,0.0,0.0,0.0
105050,labels_20250227_105050_mistral7b_thisiscere.csv,0.9285714285714286,0.0,0.0,0.0
